,name,R,Z,coil_pair
14,p1_inner,0.20249948,-0.90927863,p1
14,p1_inner,0.2024995,-0.8712784,p1
14,p1_inner,0.2024995,-0.83327824,p1
14,p1_inner,0.2024995,-0.795278,p1
14,p1_inner,0.20249951,-0.75727785,p1
14,p1_inner,0.20249951,-0.7192776,p1
14,p1_inner,0.20249951,-0.68127745,p1
14,p1_inner,0.20249952,-0.6432772,p1
14,p1_inner,0.20249952,-0.60527706,p1
14,p1_inner,0.20249952,-0.56727684,p1
14,p1_inner,0.20249952,-0.52927667,p1
14,p1_inner,0.20249954,-0.49127647,p1
14,p1_inner,0.20249954,-0.45327628,p1
14,p1_inner,0.20249954,-0.41527608,p1
14,p1_inner,0.20249954,-0.37727588,p1
14,p1_inner,0.20249955,-0.3392757,p1
14,p1_inner,0.20249955,-0.3012755,p1
14,p1_inner,0.20249955,-0.2632753,p1
14,p1_inner,0.20249955,-0.2252751,p1
14,p1_inner,0.20249955,-0.1872749,p1
14,p1_inner,0.20249955,-0.1492747,p1
14,p1_inner,0.20249955,-0.1112745,p1
14,p1_inner,0.20249955,-0.07327431,p1
14,p1_inner,0.20249957,-0.03527412,p1
14,p1_inner,0.20249957,0.0027260792,p1
14,p1_inner,0.20249957,0.040726278,p1
14,p1_inner,0.20249957,0.07872648,p1
14,p1_inner,0.20249957,0.116726674,p1
14,p1_inner,0.20249957,0.15472686,p1
14,p1_inner,0.20249957,0.19272706,p1
14,p1_inner,0.20249957,0.23072726,p1
14,p1_inner,0.20249957,0.26872745,p1
14,p1_inner,0.20249957,0.30672765,p1
14,p1_inner,0.20249957,0.34472784,p1
14,p1_inner,0.20249957,0.38272804,p1
14,p1_inner,0.20249957,0.42072824,p1
14,p1_inner,0.20249955,0.45872843,p1
14,p1_inner,0.20249955,0.49672863,p1
14,p1_inner,0.20249955,0.5347289,p1
14,p1_inner,0.20249955,0.57272905,p1
14,p1_inner,0.20249955,0.6107293,p1
14,p1_inner,0.20249955,0.64872944,p1
14,p1_inner,0.20249955,0.68672967,p1
14,p1_inner,0.20249954,0.72472984,p1
14,p1_inner,0.20249954,0.76273006,p1
14,p1_inner,0.20249954,0.8007302,p1
14,p1_inner,0.20249954,0.83873045,p1
14,p1_inner,0.20249952,0.8767306,p1
14,p1_inner,0.20249952,0.91473085,p1
14,p1_inner,0.20249952,0.952731,p1
14,p1_inner,0.20249952,0.99073124,p1
14,p1_inner,0.20249951,1.0287315,p1
14,p1_inner,0.20249951,1.0667316,p1
14,p1_inner,0.20249951,1.1047318,p1
14,p1_inner,0.2024995,1.142732,p1
14,p1_inner,0.2024995,1.1807323,p1
14,p1_inner,0.2024995,1.2187324,p1
14,p1_inner,0.20249948,1.2567326,p1
14,p1_inner,0.20249948,1.2947328,p1
14,p1_inner,0.20249946,1.332733,p1
14,p1_inner,0.20249946,1.3707331,p1
14,p1_inner,0.20249946,1.4087334,p1
14,p1_inner,0.20249945,1.4467336,p1
14,p1_inner,0.20249945,1.4847338,p1
14,p1_inner,0.20249943,1.5227339,p1
14,p1_inner,0.20249969,-1.5362817,p1
14,p1_inner,0.20249936,-1.4982816,p1
14,p1_inner,0.20249937,-1.4602815,p1
14,p1_inner,0.20249939,-1.4222813,p1
14,p1_inner,0.20249939,-1.384281,p1
14,p1_inner,0.2024994,-1.3462809,p1
14,p1_inner,0.2024994,-1.3082807,p1
14,p1_inner,0.20249942,-1.2702805,p1
14,p1_inner,0.20249942,-1.2322803,p1
14,p1_inner,0.20249943,-1.1942801,p1
14,p1_inner,0.20249943,-1.1562799,p1
14,p1_inner,0.20249945,-1.1182797,p1
